/Path;has_COHORT1;has_COHORT2;has_COHORT3;has_COHORT4;has_COHORT5;has_COHORT6;has_COHORT7;has_COHORT8;has_COHORT9;has_COHORT10;conversionsrate/
14;0;0;0;1;0;0;0;1;0;0;0.01
14;0;0;0;1;0;0;0;1;0;0;0.01
14;0;0;0;1;0;0;0;1;0;0;0.01
14;0;0;0;1;0;0;0;1;0;0;0.01
14;0;0;0;1;0;0;0;1;0;0;0.01
14;0;0;0;1;0;0;0;1;0;0;0.01
14;0;0;0;1;0;0;0;1;0;0;0.01
86;0;1;1;1;1;0;1;1;0;0;0
86;0;1;1;1;1;0;1;1;0;0;0
86;0;1;1;1;1;0;1;1;0;0;0
86;0;1;1;1;1;0;1;1;0;0;0
86;0;1;1;1;1;0;1;1;0;0;0
86;0;1;1;1;1;0;1;1;0;0;0
86;0;1;1;1;1;0;1;1;0;0;0
86;0;1;1;1;1;0;1;1;0;0;0
86;0;1;1;1;1;0;1;1;0;0;0
86;0;1;1;1;1;0;1;1;0;0;0
86;0;1;1;1;1;0;1;1;0;0;0
51;0;1;1;1;0;0;0;0;0;0;0
51;0;1;1;1;0;0;0;0;0;0;0
51;0;1;1;1;0;0;0;0;0;0;0
51;0;1;1;1;0;0;0;0;0;0;0
51;0;1;1;1;0;0;0;0;0;0;0
51;0;1;1;1;0;0;0;0;0;0;0
51;0;1;1;1;0;0;0;0;0;0;0
51;0;1;1;1;0;0;0;0;0;0;0
51;0;1;1;1;0;0;0;0;0;0;0
51;0;1;1;1;0;0;0;0;0;0;0
51;0;1;1;1;0;0;0;0;0;0;0
51;0;1;1;1;0;0;0;0;0;0;0
119;1;0;0;0;1;0;0;0;1;0;0.01
119;1;0;0;0;1;0;0;0;1;0;0.01
119;1;0;0;0;1;0;0;0;1;0;0.01
119;1;0;0;0;1;0;0;0;1;0;0.01
119;1;0;0;0;1;0;0;0;1;0;0.01
119;1;0;0;0;1;0;0;0;1;0;0.01
119;1;0;0;0;1;0;0;0;1;0;0.01
119;1;0;0;0;1;0;0;0;1;0;0.01
119;1;0;0;0;1;0;0;0;1;0;0.01
119;1;0;0;0;1;0;0;0;1;0;0.01
119;1;0;0;0;1;0;0;0;1;0;0.01
119;1;0;0;0;1;0;0;0;1;0;0.01
31;0;1;0;1;0;0;0;1;0;0;0
31;0;1;0;1;0;0;0;1;0;0;0
31;0;1;0;1;0;0;0;1;0;0;0
31;0;1;0;1;0;0;0;1;0;0;0
31;0;1;0;1;0;0;0;1;0;0;0
31;0;1;0;1;0;0;0;1;0;0;0
31;0;1;0;1;0;0;0;1;0;0;0
31;0;1;0;1;0;0;0;1;0;0;0
31;0;1;0;1;0;0;0;1;0;0;0
31;0;1;0;1;0;0;0;1;0;0;0
31;0;1;0;1;0;0;0;1;0;0;0
31;0;1;0;1;0;0;0;1;0;0;0
31;0;1;0;1;0;0;0;1;0;0;0
101;0;1;0;1;1;0;1;1;1;0;0.01
101;0;1;0;1;1;0;1;1;1;0;0.01
101;0;1;0;1;1;0;1;1;1;0;0.01
101;0;1;0;1;1;0;1;1;1;0;0.01
101;0;1;0;1;1;0;1;1;1;0;0.01
101;0;1;0;1;1;0;1;1;1;0;0.01
101;0;1;0;1;1;0;1;1;1;0;0.01
101;0;1;0;1;1;0;1;1;1;0;0.01
101;0;1;0;1;1;0;1;1;1;0;0.01
101;0;1;0;1;1;0;1;1;1;0;0.01
101;0;1;0;1;1;0;1;1;1;0;0.01
101;0;1;0;1;1;0;1;1;1;0;0.01
101;0;1;0;1;1;0;1;1;1;0;0.01
52;0;1;0;1;1;0;0;1;0;0;0
52;0;1;0;1;1;0;0;1;0;0;0
52;0;1;0;1;1;0;0;1;0;0;0
52;0;1;0;1;1;0;0;1;0;0;0
52;0;1;0;1;1;0;0;1;0;0;0
52;0;1;0;1;1;0;0;1;0;0;0
52;0;1;0;1;1;0;0;1;0;0;0
52;0;1;0;1;1;0;0;1;0;0;0
52;0;1;0;1;1;0;0;1;0;0;0
52;0;1;0;1;1;0;0;1;0;0;0
52;0;1;0;1;1;0;0;1;0;0;0
